VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_hour,pickup_date,weekday,is_weekend,trip_duration_min,trip_speed_mph,tip_pct,long_trip,high_tip,revenue_per_mile
1,2025-01-07 17:55:37,2025-01-07 18:07:54,0.0,43.2,0.0,Unknown,231,158,0,9.94,0.0,0.5,0.0,0.0,1.0,14.69,0.0,0.0,0.75,17,2025-01-07,1,False,12.283333333333333,80.0,0.0,True,False,0.34004629629629624
1,2025-01-08 06:55:13,2025-01-08 07:08:25,0.0,35.8,0.0,Unknown,4,162,0,19.32,0.0,0.5,0.0,0.0,1.0,24.07,0.0,0.0,0.75,6,2025-01-08,2,False,13.2,80.0,0.0,True,False,0.6723463687150839
1,2025-01-08 07:17:10,2025-01-08 07:29:06,0.0,27.9,0.0,Unknown,89,71,0,19.87,0.0,0.5,0.0,0.0,1.0,21.37,0.0,0.0,0.0,7,2025-01-08,2,False,11.933333333333334,80.0,0.0,True,False,0.7659498207885306
1,2025-01-09 06:58:25,2025-01-09 07:04:29,0.0,10.4,0.0,Unknown,263,262,0,6.24,0.0,0.5,0.0,0.0,1.0,10.24,0.0,0.0,0.0,6,2025-01-09,3,False,6.066666666666666,80.0,0.0,True,False,0.9846153846153846
1,2025-01-09 06:06:48,2025-01-09 06:11:27,0.0,11.4,0.0,Unknown,48,50,0,5.99,0.0,0.5,0.0,0.0,1.0,10.74,0.0,0.0,0.75,6,2025-01-09,3,False,4.65,80.0,0.0,True,False,0.9421052631578948
1,2025-01-09 06:17:52,2025-01-09 06:27:19,0.0,45.0,0.0,Unknown,68,234,0,8.96,0.0,0.5,0.0,0.0,1.0,13.71,0.0,0.0,0.75,6,2025-01-09,3,False,9.45,80.0,0.0,True,False,0.3046666666666667
1,2025-01-09 09:17:39,2025-01-09 09:32:12,0.0,32.1,0.0,Unknown,238,50,0,14.48,0.0,0.5,0.0,0.0,1.0,19.23,0.0,0.0,0.75,9,2025-01-09,3,False,14.55,80.0,0.0,True,False,0.5990654205607476
1,2025-01-09 18:58:22,2025-01-09 19:08:21,0.0,31.2,0.0,Unknown,181,17,0,11.48,0.0,0.5,0.0,0.0,1.0,12.98,0.0,0.0,0.0,18,2025-01-09,3,False,9.983333333333333,80.0,0.0,True,False,0.41602564102564105
1,2025-01-10 06:35:18,2025-01-10 06:51:33,0.0,27.7,0.0,Unknown,157,137,0,21.85,0.0,0.5,0.0,6.94,1.0,33.54,0.0,0.0,0.75,6,2025-01-10,4,False,16.25,80.0,0.0,True,False,1.2108303249097474
1,2025-01-10 17:21:01,2025-01-10 17:27:27,0.0,29.3,0.0,Unknown,246,90,0,7.76,0.0,0.5,0.0,0.0,1.0,12.51,0.0,0.0,0.75,17,2025-01-10,4,False,6.433333333333334,80.0,0.0,True,False,0.42696245733788396
